,_step,eval/loss,_runtime,eval/entropy,eval/num_tokens,train/epoch,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime,_timestamp,train/global_step,train/entropy,train/mean_token_accuracy,train/num_tokens,train/loss,train/grad_norm,train/learning_rate
26,26,,769.198477751,,,0.10699588477366255,,,,,1764176733.488417,26,1.8075892925262451,0.6255411505699158,33107.0,1.6463,2.1040444374084473,2e-05
27,27,,769.495560421,,,0.1111111111111111,,,,,1764176733.7855704,27,1.6971689462661743,0.6458157300949097,34294.0,1.5919,1.666451096534729,1.9998961636899736e-05
28,28,,770.035297131,,,0.11522633744855967,,,,,1764176734.3252807,28,1.7754762172698975,0.6046798229217529,36734.0,1.7666,1.252694010734558,1.9995846763238514e-05
29,29,,770.327532366,,,0.11934156378600823,,,,,1764176734.617552,29,1.7354705333709717,0.6300246119499207,37957.0,1.6764,1.5942883491516113,1.9990656025890315e-05
30,30,,770.632185342,,,0.12345679012345678,,,,,1764176734.9221833,30,1.6558014154434204,0.6156787872314453,39530.0,1.681,1.4530696868896484,1.9983390502829168e-05
31,31,,770.9281776,,,0.12757201646090535,,,,,1764176735.2181547,31,1.9832611083984375,0.5897693037986755,40531.0,1.9082,1.8759406805038452,1.997405170290528e-05
32,32,,771.220744075,,,0.13168724279835392,,,,,1764176735.5107782,32,1.5567576885223389,0.6548523306846619,41720.0,1.4734,1.528485655784607,1.9962641565531694e-05
33,33,,771.544498397,,,0.13580246913580246,,,,,1764176735.8345218,33,1.5789737701416016,0.674315333366394,43075.0,1.4466,1.4679783582687378,1.994916246028154e-05
34,34,,771.859276352,,,0.13991769547325103,,,,,1764176736.1493065,34,1.613887906074524,0.6464560031890869,44250.0,1.5301,1.6741207838058472,1.9933617186395917e-05
35,35,,772.182747284,,,0.1440329218106996,,,,,1764176736.4728203,35,1.4911280870437622,0.6710801124572754,45689.0,1.4462,1.359425663948059,1.9916008972202586e-05
